German,Vietnam
Auf,ở bên trên (có tiếp xúc trực tiếp)
Über,ở bên trên (không có tiếp xúc trực tiếp)
Unter,ở bên dưới
Hinter,ở đằng sau
Vor,ở đằng trước
In,ở bên trong
An,ở bên cạnh (có tiếp xúc trực tiếp)
Neben,ở bên cạnh (không có tiếp xúc trực tiếp)
Zwischen,ở giữa
In der Nähe,ở gần đây
Links,bên trái
Rechts,bên phải
Der Dom,nhà thờ
Die Brücke,cây cầu
Die Ampel,cột đèn giao thông
Der Bank,ngân hàng
Die Auskunft,quầy thông tin
einladen,mời
viele Leute,rất nhiều người
stattFinden,diễn ra
Zugticket, vé tàu
das Schiff,tàu thuyền
Zeit,thời gian 
Das Datum,ngày tháng
Abfahrt,khởi hành
Ankunft,đến
Ausflug,dã ngoại
Das Getränke,đồ ăn hoặc thức uống
zahlt jeder allein,mỗi người tự trả tiền
